classifier,feature_set,n_features,best_params,cv_balanced_accuracy,val_accuracy,val_balanced_accuracy,val_f1_weighted,val_roc_auc,test_accuracy,test_balanced_accuracy,test_f1_weighted,test_roc_auc,confusion_matrix,model_path
logistic_regression,filtered,31,"{""logistic__C"": 10.0, ""logistic__class_weight"": null}",0.9166666666666666,0.7288135593220338,0.7270114942528736,0.7254948441389119,0.82183908045977,0.6650246305418719,0.6683673469387754,0.6623274347600745,0.7498542274052478,"[[60, 45], [23, 75]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_logistic_regression_filtered.pkl
logistic_regression,all,36,"{""logistic__C"": 10.0, ""logistic__class_weight"": null}",0.9134615384615384,0.7288135593220338,0.7270114942528736,0.7254948441389119,0.8209770114942528,0.6650246305418719,0.6683673469387754,0.6623274347600745,0.7494655004859087,"[[60, 45], [23, 75]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_logistic_regression_all.pkl
logistic_regression,selected_9,9,"{""logistic__C"": 0.1, ""logistic__class_weight"": null}",0.9038461538461539,0.7372881355932204,0.7362068965517241,0.7360925242764806,0.8086206896551724,0.6650246305418719,0.6680272108843537,0.6629024668952075,0.75578231292517,"[[61, 44], [24, 74]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_logistic_regression_selected_9.pkl
random_forest,med_diagnosis_all,2,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.9038461538461539,0.7372881355932204,0.7353448275862069,0.7335485331726551,0.8224137931034483,0.6600985221674877,0.6646258503401361,0.6547736076713025,0.7577745383867832,"[[56, 49], [20, 78]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_random_forest_med_diagnosis_all.pkl
random_forest,selected_18,18,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.9102564102564102,0.7542372881355932,0.7520114942528735,0.7496410658014954,0.8327586206896552,0.6600985221674877,0.6639455782312925,0.6563574028077072,0.7424684159378037,"[[58, 47], [22, 76]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_random_forest_selected_18.pkl
hist_gradient_boosting,selected_18,18,"{""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7}",0.8952991452991452,0.7457627118644068,0.7439655172413793,0.7426514163802299,0.814080459770115,0.6600985221674877,0.6639455782312925,0.6563574028077072,0.7571428571428572,"[[58, 47], [22, 76]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_hist_gradient_boosting_selected_18.pkl
extra_trees,med_diagnosis_all,2,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.9102564102564102,0.7372881355932204,0.735632183908046,0.7345569253707435,0.8149425287356321,0.6600985221674877,0.6636054421768707,0.6570441978483323,0.7615160349854228,"[[59, 46], [23, 75]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_extra_trees_med_diagnosis_all.pkl
hist_gradient_boosting,med_diagnosis_all,2,"{""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7}",0.9081196581196581,0.7203389830508474,0.718103448275862,0.7151087990154947,0.8255747126436782,0.6551724137931034,0.6598639455782314,0.6493235683043433,0.7572886297376094,"[[55, 50], [20, 78]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_hist_gradient_boosting_med_diagnosis_all.pkl
hist_gradient_boosting,filtered,31,"{""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7}",0.8931623931623932,0.7203389830508474,0.7183908045977012,0.7163581159579877,0.8135057471264369,0.6551724137931034,0.6591836734693877,0.6510022016019017,0.7520894071914481,"[[57, 48], [22, 76]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_hist_gradient_boosting_filtered.pkl
extra_trees,filtered,31,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",0.907051282051282,0.7627118644067796,0.7600574712643677,0.7563954100431625,0.8327586206896551,0.6502463054187192,0.6544217687074829,0.6456182333004635,0.7442662779397473,"[[56, 49], [22, 76]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_extra_trees_filtered.pkl
hist_gradient_boosting,all,36,"{""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7}",0.8931623931623932,0.7203389830508474,0.7183908045977012,0.7163581159579877,0.8109195402298851,0.6502463054187192,0.6544217687074829,0.6456182333004635,0.7526724975704568,"[[56, 49], [22, 76]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_hist_gradient_boosting_all.pkl
logistic_regression,selected_18,18,"{""logistic__C"": 0.1, ""logistic__class_weight"": null}",0.905982905982906,0.7203389830508474,0.7183908045977012,0.7163581159579877,0.820977011494253,0.6403940886699507,0.6438775510204082,0.6371627020714242,0.7529640427599612,"[[57, 48], [25, 73]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_logistic_regression_selected_18.pkl
hist_gradient_boosting,selected_9,9,"{""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7}",0.8942307692307692,0.7457627118644068,0.7442528735632183,0.7435487441883349,0.8173850574712643,0.6403940886699507,0.6438775510204082,0.6371627020714242,0.7613702623906706,"[[57, 48], [25, 73]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05e_combined_hist_gradient_boosting_selected_9.pkl
