model_family,model,feature_set,n_features,accuracy,balanced_accuracy,f1_weighted,roc_auc,confusion_matrix
SS-VIRULEX,ss_virulex_hist_gradient_boosting_filtered,filtered,31.0,0.6551724137931034,0.6591836734693877,0.6510022016019017,0.7520894071914481,"[[57, 48], [22, 76]]"
SS-VIRULEX,ss_virulex_extra_trees_filtered,filtered,31.0,0.6502463054187192,0.6544217687074829,0.6456182333004635,0.7442662779397473,"[[56, 49], [22, 76]]"
SS-VIRULEX,ss_virulex_hist_gradient_boosting_all,all,36.0,0.6502463054187192,0.6544217687074829,0.6456182333004635,0.7526724975704568,"[[56, 49], [22, 76]]"
SS-VIRULEX,ss_virulex_logistic_regression_selected_18,selected_18,18.0,0.6403940886699507,0.6438775510204082,0.6371627020714242,0.7529640427599612,"[[57, 48], [25, 73]]"
SS-VIRULEX,ss_virulex_hist_gradient_boosting_selected_9,selected_9,9.0,0.6403940886699507,0.6438775510204082,0.6371627020714242,0.7613702623906706,"[[57, 48], [25, 73]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_logistic_regression_selected_9,selected_9,9.0,0.7339901477832512,0.7312925170068028,0.7320718075028421,0.759086491739553,"[[85, 20], [34, 64]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_logistic_regression_selected_18,selected_18,18.0,0.729064039408867,0.7268707482993197,0.727751936676886,0.754907677356657,"[[83, 22], [33, 65]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_gradient_boosting_selected_18,selected_18,18.0,0.729064039408867,0.7255102040816327,0.7257619802340706,0.7438775510204082,"[[87, 18], [37, 61]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_gradient_boosting_selected_6,selected_6,6.0,0.7241379310344828,0.7210884353741497,0.7216424236259452,0.7311953352769679,"[[85, 20], [36, 62]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_logistic_regression_all,all,36.0,0.7192118226600985,0.7193877551020409,0.7192936195218973,0.7514091350826044,"[[75, 30], [27, 71]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_logistic_regression_filtered,filtered,31.0,0.7192118226600985,0.7193877551020409,0.7192936195218973,0.7515063168124393,"[[75, 30], [27, 71]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_logistic_regression_selected_6,selected_6,6.0,0.7192118226600985,0.7166666666666667,0.7174228808553894,0.753935860058309,"[[83, 22], [35, 63]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_extra_trees_all,all,36.0,0.7142857142857143,0.7136054421768707,0.7141606691305193,0.7472303206997084,"[[77, 28], [30, 68]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_svm_rbf_filtered,filtered,31.0,0.7142857142857143,0.713265306122449,0.7139797507788163,0.7348882410106901,"[[78, 27], [31, 67]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_extra_trees_selected_6,selected_6,6.0,0.7093596059113301,0.7095238095238096,0.7094442728384551,0.7483479105928086,"[[74, 31], [28, 70]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_hist_gradient_boosting_filtered,filtered,31.0,0.7093596059113301,0.7095238095238096,0.7094442728384551,0.744460641399417,"[[74, 31], [28, 70]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_svm_rbf_all,all,36.0,0.7093596059113301,0.7095238095238096,0.7094442728384551,0.733527696793003,"[[74, 31], [28, 70]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_extra_trees_med_diagnosis_all,med_diagnosis_all,2.0,0.7093596059113301,0.7074829931972788,0.7083376486249586,0.7580660835762876,"[[80, 25], [34, 64]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_gradient_boosting_med_diagnosis_all,med_diagnosis_all,2.0,0.7093596059113301,0.7074829931972788,0.7083376486249586,0.7565597667638484,"[[80, 25], [34, 64]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_hist_gradient_boosting_med_diagnosis_all,med_diagnosis_all,2.0,0.7093596059113301,0.7074829931972788,0.7083376486249586,0.7478134110787171,"[[80, 25], [34, 64]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_random_forest_med_diagnosis_all,med_diagnosis_all,2.0,0.7093596059113301,0.7074829931972788,0.7083376486249586,0.7485908649173956,"[[80, 25], [34, 64]]"
SS-VIRULEX,ss_virulex_calibrated_threshold_extra_trees_filtered,filtered,31.0,0.7044334975369458,0.7064625850340136,0.7037297677691766,0.7421282798833819,"[[68, 37], [23, 75]]"
