classifier,feature_set,n_features,best_params,calibration_method,threshold_selection,threshold,uncalibrated_val_balanced_accuracy,calibrated_val_accuracy,calibrated_val_balanced_accuracy,calibrated_val_f1_weighted,calibrated_val_roc_auc,test_default_accuracy,test_default_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_f1_weighted,test_roc_auc,confusion_matrix,model_path
logistic_regression,med_diagnosis_all,2,"{""logistic__C"": 0.1, ""logistic__class_weight"": null}",sigmoid,validation_balanced_accuracy,0.62,0.7192528735632184,0.7627118644067796,0.7632183908045977,0.7625754919150595,0.8089080459770115,0.6945812807881774,0.6952380952380952,0.7044334975369458,0.7034013605442176,0.7041169835642926,0.7610301263362488,"[[77, 28], [32, 66]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_logistic_regression_med_diagnosis_all.pkl
hist_gradient_boosting,selected_6,6,"{""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7}",sigmoid,validation_balanced_accuracy,0.53,0.7528735632183908,0.7627118644067796,0.7632183908045977,0.7625754919150595,0.8132183908045977,0.7044334975369458,0.7040816326530612,0.7044334975369458,0.7030612244897959,0.7038717483363582,0.7473275024295434,"[[78, 27], [33, 65]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_hist_gradient_boosting_selected_6.pkl
hist_gradient_boosting,all,36,"{""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7}",sigmoid,validation_balanced_accuracy,0.53,0.7183908045977012,0.788135593220339,0.7882183908045977,0.7881508100850074,0.8109195402298851,0.6847290640394089,0.6857142857142857,0.6995073891625616,0.6996598639455782,0.699594926155013,0.7416423712342078,"[[73, 32], [29, 69]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_hist_gradient_boosting_all.pkl
random_forest,all,36,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 200}",sigmoid,validation_balanced_accuracy,0.5800000000000001,0.7433908045977011,0.7627118644067796,0.7626436781609196,0.7627118644067796,0.8310344827586207,0.6945812807881774,0.6962585034013606,0.6995073891625616,0.6996598639455782,0.699594926155013,0.7342079689018464,"[[73, 32], [29, 69]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_random_forest_all.pkl
svm_rbf,selected_6,6,"{""svc__C"": 0.3, ""svc__class_weight"": null, ""svc__gamma"": ""scale""}",sigmoid,validation_balanced_accuracy,0.7153004554144611,0.7362068965517241,0.7627118644067796,0.7632183908045977,0.7625754919150595,0.7666666666666667,0.6896551724137931,0.691156462585034,0.6995073891625616,0.698299319727891,0.6990683399320673,0.6772594752186589,"[[77, 28], [33, 65]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_svm_rbf_selected_6.pkl
extra_trees,selected_18,18,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 300}",sigmoid,validation_balanced_accuracy,0.52,0.7442528735632183,0.7711864406779662,0.7706896551724138,0.7709395018053974,0.8232758620689654,0.6847290640394089,0.6860544217687075,0.6945812807881774,0.695578231292517,0.6945219876957269,0.7517978620019435,"[[70, 35], [27, 71]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_extra_trees_selected_18.pkl
hist_gradient_boosting,selected_18,18,"{""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7}",sigmoid,validation_balanced_accuracy,0.47567868860821055,0.7439655172413793,0.7711864406779662,0.7706896551724138,0.7709395018053974,0.814080459770115,0.7044334975369458,0.7047619047619047,0.6896551724137931,0.6904761904761905,0.6896551724137931,0.747910592808552,"[[70, 35], [28, 70]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_hist_gradient_boosting_selected_18.pkl
svm_rbf,med_diagnosis_all,2,"{""svc__C"": 3.0, ""svc__class_weight"": null, ""svc__gamma"": ""scale""}",sigmoid,validation_balanced_accuracy,0.53,0.7531609195402299,0.7627118644067796,0.7617816091954023,0.7618900873138161,0.7844827586206895,0.6847290640394089,0.6880952380952381,0.6847290640394089,0.6877551020408164,0.6827317335484304,0.7252672497570457,"[[63, 42], [22, 76]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_svm_rbf_med_diagnosis_all.pkl
svm_rbf,selected_9,9,"{""svc__C"": 3.0, ""svc__class_weight"": null, ""svc__gamma"": ""scale""}",sigmoid,validation_balanced_accuracy,0.54,0.7442528735632183,0.7627118644067796,0.7617816091954023,0.7618900873138161,0.7362068965517241,0.6847290640394089,0.686734693877551,0.6847290640394089,0.6863945578231292,0.6842697532352705,0.6900874635568512,"[[67, 38], [26, 72]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_svm_rbf_selected_9.pkl
hist_gradient_boosting,selected_9,9,"{""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 7}",sigmoid,validation_balanced_accuracy,0.45,0.7442528735632183,0.7796610169491526,0.7790229885057471,0.7792802468171524,0.8173850574712643,0.7142857142857143,0.7139455782312925,0.6798029556650246,0.680952380952381,0.6796630807275649,0.7487366375121478,"[[68, 37], [28, 70]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_hist_gradient_boosting_selected_9.pkl
gradient_boosting,filtered,31,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100}",sigmoid,validation_balanced_accuracy,0.4466920581468789,0.7436781609195402,0.7796610169491526,0.7787356321839081,0.7788979382199721,0.8173850574712644,0.6748768472906403,0.6751700680272108,0.6748768472906403,0.6768707482993197,0.6741027445460943,0.7397959183673469,"[[65, 40], [26, 72]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_gradient_boosting_filtered.pkl
random_forest,selected_18,18,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 200}",sigmoid,validation_balanced_accuracy,0.4641776582302985,0.7520114942528735,0.7796610169491526,0.7790229885057471,0.7792802468171524,0.8327586206896552,0.6748768472906403,0.676530612244898,0.6699507389162561,0.6727891156462584,0.6681182481935704,0.7402818270165209,"[[62, 43], [24, 74]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_random_forest_selected_18.pkl
random_forest,selected_6,6,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 200}",sigmoid,validation_balanced_accuracy,0.45,0.735632183908046,0.7627118644067796,0.7617816091954023,0.7618900873138161,0.8097701149425287,0.6748768472906403,0.6768707482993197,0.6650246305418719,0.6683673469387754,0.6623274347600745,0.7377065111758989,"[[60, 45], [23, 75]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_random_forest_selected_6.pkl
gradient_boosting,selected_9,9,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100}",sigmoid,validation_balanced_accuracy,0.43,0.7439655172413793,0.7711864406779662,0.7701149425287357,0.7701451017891928,0.8014367816091954,0.6945812807881774,0.69421768707483,0.6502463054187192,0.6534013605442177,0.6477391104754842,0.7391642371234206,"[[59, 46], [25, 73]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_gradient_boosting_selected_9.pkl
random_forest,selected_9,9,"{""class_weight"": null, ""max_depth"": 6, ""min_samples_leaf"": 1, ""n_estimators"": 200}",sigmoid,validation_balanced_accuracy,0.29000000000000004,0.7525862068965516,0.7711864406779662,0.7683908045977011,0.7644152020686438,0.8204022988505747,0.6798029556650246,0.6812925170068027,0.645320197044335,0.6513605442176871,0.634939238788477,0.7392614188532556,"[[50, 55], [17, 81]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_random_forest_selected_9.pkl
gradient_boosting,all,36,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 100}",sigmoid,validation_balanced_accuracy,0.34,0.7525862068965516,0.7627118644067796,0.7609195402298851,0.7598079886215479,0.8237068965517242,0.6600985221674877,0.6608843537414966,0.645320197044335,0.6503401360544218,0.6383286771753095,0.7316812439261419,"[[53, 52], [20, 78]]",/Users/samehissa/Downloads/SS-VIRULEX-outputs/02_SVIS-RULEX/covid_ct_run/exact_sequence/outputs/models/05f_combined_calibrated_gradient_boosting_all.pkl
